Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1533675600.0 4.22 NA 169 82 90 0 NA NA NA 273 123 142 0 NA NA NA 974 229 413 254 NA NA NA 958 565 540 444 NA NA
1533675600.0 4.28 NA 82 297 0 NA NA NA NA 139 407 0 NA NA NA NA 301 2818 2248 NA NA NA NA 455 3800 2651 NA NA NA
1533675600.0 4001.0 NA 183 368 NA NA NA NA NA 602 518 NA NA NA NA NA 969 2404 NA NA NA NA NA 743 2049 NA NA NA NA
1533675600.0 4002.0 NA 135 297 NA NA NA NA NA 593 448 NA NA NA NA NA 2006 2626 NA NA NA NA NA 1243 1965 NA NA NA NA
1533675600.0 4006.0 71 176 350 NA NA NA NA 145 604 495 NA NA NA NA 1087 797 2096 NA NA NA NA 783 648 2472 NA NA NA NA
1533675600.0 4007.0 65 118 305 NA NA NA NA 138 603 456 NA NA NA NA 1312 397 1595 NA NA NA NA 1228 682 2218 NA NA NA NA
1533675600.0 4008.0 49 0 0 NA NA NA NA 108 0 0 NA NA NA NA 434 260 1349 NA NA NA NA 837 360 1778 NA NA NA NA
1533675600.0 526.0 21 44 0 NA NA NA NA 63 91 0 NA NA NA NA 2017 183 122 NA NA NA NA 9282 710 271 NA NA NA NA
1533675600.0 527.0 19 41 0 NA NA NA NA 63 93 0 NA NA NA NA 941 191 135 NA NA NA NA 1557 533 434 NA NA NA NA
1533675600.0 528.0 21 41 0 NA NA NA NA 63 93 0 NA NA NA NA 612 163 139 NA NA NA NA 1541 329 420 NA NA NA NA
1533675600.0 529.0 21 42 0 NA NA NA NA 64 92 0 NA NA NA NA 2050 173 119 NA NA NA NA 9282 442 229 NA NA NA NA
1533675600.0 530.0 21 45 0 NA NA NA NA 64 93 0 NA NA NA NA 945 172 127 NA NA NA NA 2832 341 629 NA NA NA NA
1533675600.0 531.0 55 0 NA NA NA NA NA 195 0 NA NA NA NA NA 179 139 NA NA NA NA NA 1006 373 NA NA NA NA NA
1533675600.0 534.0 46 0 NA NA NA NA NA 104 0 NA NA NA NA NA 208 126 NA NA NA NA NA 768 632 NA NA NA NA NA
1533675600.0 535.0 110 0 NA NA NA NA NA 187 0 NA NA NA NA NA 3324 129 NA NA NA NA NA 1815 235 NA NA NA NA NA
1533675600.0 541.0 48 0 NA NA NA NA NA 101 0 NA NA NA NA NA 187 120 NA NA NA NA NA 361 236 NA NA NA NA NA
1533675600.0 545.0 47 0 NA NA NA NA NA 101 0 NA NA NA NA NA 196 121 NA NA NA NA NA 483 249 NA NA NA NA NA
1533675600.0 552.0 21 46 0 NA NA NA NA 66 93 0 NA NA NA NA 1754 162 140 NA NA NA NA 1192 314 438 NA NA NA NA
1533675600.0 554.0 20 44 0 NA NA NA NA 63 93 0 NA NA NA NA 1645 201 121 NA NA NA NA 2599 390 252 NA NA NA NA
1533675600.0 556.0 28 50 0 NA NA NA NA 67 94 0 NA NA NA NA 361 173 137 NA NA NA NA 878 264 261 NA NA NA NA
1533675600.0 560.0 45 0 NA NA NA NA NA 88 0 NA NA NA NA NA 176 121 NA NA NA NA NA 344 335 NA NA NA NA NA
1533675600.0 561.0 45 0 NA NA NA NA NA 86 0 NA NA NA NA NA 175 122 NA NA NA NA NA 345 226 NA NA NA NA NA
